id,app,name,applied
1,contenttypes,0001_initial,2025-08-27 17:30:00.451163+00:00
2,auth,0001_initial,2025-08-27 17:30:00.785013+00:00
3,admin,0001_initial,2025-08-27 17:30:00.838059+00:00
4,admin,0002_logentry_remove_auto_add,2025-08-27 17:30:00.887536+00:00
5,admin,0003_logentry_add_action_flag_choices,2025-08-27 17:30:00.906661+00:00
6,contenttypes,0002_remove_content_type_name,2025-08-27 17:30:00.954856+00:00
7,auth,0002_alter_permission_name_max_length,2025-08-27 17:30:00.963485+00:00
8,auth,0003_alter_user_email_max_length,2025-08-27 17:30:00.995653+00:00
9,auth,0004_alter_user_username_opts,2025-08-27 17:30:01.022899+00:00
10,auth,0005_alter_user_last_login_null,2025-08-27 17:30:01.045498+00:00
11,auth,0006_require_contenttypes_0002,2025-08-27 17:30:01.045498+00:00
12,auth,0007_alter_validators_add_error_messages,2025-08-27 17:30:01.064619+00:00
13,auth,0008_alter_user_username_max_length,2025-08-27 17:30:01.119963+00:00
14,auth,0009_alter_user_last_name_max_length,2025-08-27 17:30:01.155900+00:00
15,auth,0010_alter_group_name_max_length,2025-08-27 17:30:01.162207+00:00
16,auth,0011_update_proxy_permissions,2025-08-27 17:30:01.193377+00:00
17,auth,0012_alter_user_first_name_max_length,2025-08-27 17:30:01.206869+00:00
18,core,0001_initial,2025-08-27 17:30:01.517815+00:00
19,core,0002_propiedad_descripcion_propiedad_metadata_and_more,2025-08-27 17:30:01.872877+00:00
20,sessions,0001_initial,2025-08-27 17:30:01.909024+00:00
21,core,0003_busqueda_ultima_revision_and_more,2025-09-02 11:02:07.911588+00:00
22,core,0004_palabraclavepropiedad,2025-09-12 15:06:45.571841+00:00
23,core,0005_add_limits_to_inmobiliaria,2025-09-26 14:06:41.772381+00:00
