file,bytes,rows_csv,sha256,db_table,db_rows,rows_match,dup_full_row,dup_pk
auth_group.csv,12,0,8d57047b020469436f794b5d6364652a07cf6e7b69f63894422df8020221b71e,auth_group,0,True,0,0
auth_group_permissions.csv,30,0,6cc66afc2de438314c9543d7319f006567122438ac9ab74a79eff516f33fa59f,auth_group_permissions,0,True,0,0
auth_permission.csv,2540,56,ce3853a7ce0c16d9399dc604a843ac5e86a55c85db038aeee74a0a7d97f59832,auth_permission,56,True,0,0
auth_user.csv,293,1,5058c2dddc2bcbc24ae38f1508d11aeb7cf683df83ca4762f44467877617076b,auth_user,1,True,0,0
auth_user_groups.csv,24,0,13860e0e345bb1904891ead2f902f67d064a35fa46b1f119e3ae9e0a6e6ca57c,auth_user_groups,0,True,0,0
auth_user_user_permissions.csv,29,0,024dfb0f01585e8b36f9b4a1a1308fd9d0f33e93c5254962509cd749182a9444,auth_user_user_permissions,0,True,0,0
busqueda.csv,2192,4,0d1e616e3ced4864ea32b037c1e4d2932bf71da307d3b58e87ca860f1a103f59,busqueda,4,True,0,0
busqueda_palabra_clave.csv,382,8,3a212ffdc40211ababa79174d74138ee0811b1629ecca4640f5715c1d969725d,busqueda_palabra_clave,8,True,0,0
django_admin_log.csv,92,0,b4a7637bde2367ab12a7fcb907d27e11c93e0599141ce7b9e20af735caefc1b4,django_admin_log,0,True,0,0
django_content_type.csv,307,14,fd59dd4a08042b62528084fa5f30567f820cf1ec1174d6cd908bbc36b1e5d500,django_content_type,14,True,0,0
django_migrations.csv,1475,20,aa487e71a7c48449afc51b4589042eaca956f1587c3947639ddd688c7a499535,django_migrations,20,True,0,0
django_session.csv,41,0,2c50b843237ffecaa024331d1cfb2c34f106c651090ae470f77324c75548df20,django_session,0,True,0,0
inmobiliaria.csv,231,2,2d3ba2ba85248e280e0528d43fd8c0a0eb2dc607da6c4cf5944dc543a38f079b,inmobiliaria,2,True,0,0
palabra_clave.csv,393,18,00dd20bd8fa86e190d788a8e6a949f29bd173f48b9d4c980a7608e76be6519af,palabra_clave,18,True,0,0
plataforma.csv,167,1,53774b052a353ac96be452fa9cc7c70f26d3df5d1b197e83ff634468ae7ad23c,plataforma,1,True,0,0
propiedad.csv,4274,10,5837802e6f7575bd84a4e91454e32dc404a71f9435d2de93d2026656a5e871c8,propiedad,10,True,0,0
resultado_busqueda.csv,951,4,0195e2d6c23ab33f7fcf6ffe015e0143a1d4fde6f0ca33d93a36995f9500bf60,resultado_busqueda,4,True,0,0
usuario.csv,376,3,a26a1281a64b083d1253a977be8e697ce17b7e2b985673cac5aa1086ba9f996d,usuario,3,True,0,0
